ID,Source,Section,Status,Lane,Branch,Title,Description,Keep_Y_N_Maybe,Your_Notes
TQ-001,TASK_QUEUE.md,Ongoing,Paused,Backend,fix/cleanup,Task 5 — Facility balance & content,Run facility sim (balance_sim_facility.ts) to tune win rate and fight cliffs. Target 25-40% skilled full-clear in real play. Paused until post-UI finalize. Flat sim ~1.7% is reference only.,,
TQ-002,TASK_QUEUE.md,Ongoing,Ongoing,UI,feat/ui-redesign / codex/*,Parallel UI polish,Direction-05 visual pass across battle / reward / evolution / unit-select readability. Separate from backend pass.,,
TQ-003,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Task 13 — Picker blurbs (data),All 8 heroes have pickerBlurb + pickerCategory in heroes.data.json; DataManager loads them.,,
TQ-004,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Task 11 — Evolution callsigns,8 base + 16 evo callsigns in data; applied on evolve in GameState.gd.,,
TQ-005,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Task 12 — Normalize eff text,audit_eff_text.py --apply yields 0 mismatches between eff strings and ability fields.,,
TQ-006,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Facility fight 7 roster,Fight 7 enemy order: Rust Drone → Heavy Warden → Rust Drone in battle-modes.json.,,
TQ-007,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Trench Rig — Stabilize,Stabilize ability: ally-targeted 10 heal; Avalanche pickerBlurb updated.,,
TQ-008,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Splice Medic — tier-1 kit,Zone reshuffle; Diagnostic/Infusion heals+rolls; Shock Therapy 20 dmg overload.,,
TQ-009,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Splice Medic — Combat Medic evo tune,Triage / Suppression Heal / Surge Revive (70%) tuned in heroes.data.json.,,
TQ-010,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Splice Medic — Synth Warden evo tune,Overclock / Emergency Protocol / Adrenaline Surge / Mass Revival (30%) tuned.,,
TQ-011,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Guard — Bulwark Link,shieldAllyAll: true for squad-wide enemy shield on Bulwark Link.,,
TQ-012,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Resonance Cascade — relic copy,Clearer player-facing desc for dotAmplified relic in relics.data.json.,,
TQ-013,TASK_QUEUE.md,Data,Done,Data,fix/cleanup,Reward ladder reference doc,docs/reward-draft-rarity.md documents reward draft rarity rules.,,
TQ-014,TASK_QUEUE.md,UI,After UI finalization,UI,feat/ui-redesign,Task 13 — Show picker blurbs on UnitSelect,Wire UnitData.picker_blurb into home_screen.gd detail panel. Blocked until UnitSelect/detail chrome is locked.,,
TQ-015,TASK_QUEUE.md,UI,Done,UI,main,Gear equip target — evolved name,Reward gear picker uses GameState.get_run_unit_data() + battle_name() for evolved unit labels.,,
TQ-016,TASK_QUEUE.md,UI,Done,UI,main,Enemy shieldAllyAll display,Single squad-wide shield pip for shieldAllyAll abilities (not 6 + 6A split chips).,,
TQ-017,TASK_QUEUE.md,UI,Done,UI,main,Ally roll buff visuals (green dice),Positive rfm on heroes uses green roll_up pip; enemy strip keeps yellow roll_down.,,
TQ-018,TASK_QUEUE.md,UI,Done,UI,main,Capped die for RFE (Option A),Tray lands effective face once at settle; raw kept for crit/overload; post-roll snap removed.,,
