kind,id,name,asset,review
hero,pulse,Pulse Tech,assets/portraits/pulse.png,"Keep yellow faceplate; strengthen an energy-tool silhouette, since it competes with Engineer."
evolution,pulse_pyro,Pyro Specialist,assets/portraits/pulse_pyro.png,Keep ember tubes; put the heat source within the face/shoulder crop so orange alone does not identify it.
evolution,pulse_arc,Arc Specialist,assets/portraits/pulse_arc.png,Keep electrical shoulder arcs; simplify tiny filaments for battle scale.
hero,combat,Strike Unit,assets/portraits/combat.png,Keep blue visor; give the standard soldier one unique helmet notch or armor contour.
evolution,combat_blade,Blade Trooper,assets/portraits/combat_blade.png,Rework silhouette: bladed shoulder/arm element must survive the crop; currently close to base.
evolution,combat_ravager,Ravager,assets/portraits/combat_ravager.png,Keep angular red visor and more aggressive armor; effective branch separation.
hero,shield,Spike Guard,assets/portraits/shield.png,Rework first: the base Spike Guard has few visible spikes; purple face also competes with Ghost.
evolution,shield_bulwark,Bulwark,assets/portraits/shield_bulwark.png,Keep broad chest and shield cells; prioritize one bold barrier shape over small hex detail.
evolution,shield_sentinel,Sentinel,assets/portraits/shield_sentinel.png,Keep strong spikes; this branch communicates the defensive counterattack role more clearly than the base.
hero,avalanche,Avalanche Suit,assets/portraits/avalanche.png,Keep white armor and fur collar; strongest base silhouette/value anchor.
evolution,avalanche_glacier,Glacier Rig,assets/portraits/avalanche_glacier.png,"Keep ice framing, simplify peripheral crystals; clear theme and readable upgrade."
evolution,avalanche_trench,Trench Rig,assets/portraits/avalanche_trench.png,Keep heavy brown enclosure and amber lamp; strong contrast against Glacier.
hero,medic,Splice Medic,assets/portraits/medic.png,Keep white/red armor and medical insignia; immediately identifiable.
evolution,medic_medic,Combat Medic,assets/portraits/medic_medic.png,Strengthen silhouette beyond extra equipment; base and Combat Medic remain very close.
evolution,medic_synth,Synth Medic,assets/portraits/medic_synth.png,Keep green tubes and ring apparatus; strong mechanical evolution while retaining the white armor family.
hero,engineer,Field Engineer,assets/portraits/engineer.png,Keep asymmetric optics; clarify tools rather than adding more tiny connectors.
evolution,engineer_overclocked,Overclock Engineer,assets/portraits/engineer_overclocked.png,Keep amber powered visor; distinguish silhouette from Pulse at small size.
evolution,engineer_phantom,Phantom Engineer,assets/portraits/engineer_phantom.png,Keep partial digital dissolution; preserve Engineer optics so it does not become another Ghost.
hero,ghost,Ghost Operative,assets/portraits/ghost.png,"Keep hood; it is an effective silhouette anchor, though its purple palette overlaps Spike."
evolution,ghost_shadow,Shadow Operative,assets/portraits/ghost_shadow.png,Rework first: base/Shadow use nearly identical hood and mask; streaming cloth is mostly lost in crop.
evolution,ghost_wraith,Wraith,assets/portraits/ghost_wraith.png,Keep faceless sigil; restrict ornament to one clear alien-tech motif to avoid generic fantasy necromancer.
hero,breaker,Signal Breaker,assets/portraits/breaker.png,Keep orange band visor; include a compact signal apparatus within the crop.
evolution,breaker_noise,Noise Specialist,assets/portraits/breaker_noise.png,Keep radial emitter; its distinguishing crown is vulnerable to the established head-focused crop.
evolution,breaker_nullwire,Nullwire,assets/portraits/breaker_nullwire.png,Rework first: currently close to base; move cut-cable or muted-emitter identity inside the face/shoulder crop.
enemy,scrap,Scrap Drone,assets/portraits/enemies/scrap_drone.png,Keep round single lens and exposed cable torso; clear low-rank industrial enemy.
enemy,rust,Rust Drone,assets/portraits/enemies/rust_drone.png,Keep rust and flat visor; separate from friendly blue-visored soldiers with asymmetry.
enemy,signalSkimmer,Static Skimmer,assets/portraits/enemies/static_skimmer.png,Keep hovering saucer profile; strongly different from humanoid drones.
enemy,patrol,Patrol Enforcer,assets/portraits/enemies/patrol_elite.png,Keep blank faceplate; add an obvious weapon/shoulder cue at battle crop.
enemy,guard,Shield Enforcer,assets/portraits/enemies/guard_elite.png,Strengthen actual barrier or shield silhouette; goggles alone do not explain defense.
enemy,warden,Heavy Warden,assets/portraits/enemies/heavy_warden.png,Keep bulky furnace torso; good industrial silhouette.
enemy,volt,Volt Enforcer,assets/portraits/enemies/volt_elite.png,Keep yellow insulated suit; electrical hardware can be clearer.
enemy,boss,Scrapmaster,assets/portraits/enemies/scrapmaster.png,Keep scrap crown and furnace mouth; widen silhouette so boss rank survives the card crop.
enemy,skitter,Skitterling,assets/portraits/enemies/skitterling.png,Strengthen small insect/chaff read; bust treatment makes it look like another armored humanoid.
enemy,mite,Bloodmite,assets/portraits/enemies/bloodmite.png,Purple crystal-like spikes overlap Mantle/Veil; use organic sacks or hooked limbs to emphasize biology.
enemy,stalker,Spine Stalker,assets/portraits/enemies/spine_stalker.png,Keep spine fan and narrow head; coherent predatory shape.
enemy,carapace,Carapace Beetle,assets/portraits/enemies/carapace_beetle.png,Keep broad plated skull; coherent armored insect.
enemy,brood,Broodwarden,assets/portraits/enemies/broodwarden.png,Keep egg-like back sacs; keep these visible within crop.
enemy,spewer,Caustic Spewer,assets/portraits/enemies/caustic_spewer.png,Keep swollen mouth and green acid; clear functional read.
enemy,hiveBoss,Hive Matriarch,assets/portraits/enemies/hive_matriarch.png,Rework rank: too close to Aegis Anchor and smaller-looking than Broodwarden; distinctive brood crown needed.
enemy,veilShard,Shard Drone,assets/portraits/enemies/shardmite.png,Keep geometric floating shield body; strongest Veil design anchor.
enemy,veilPrism,Prism Charger,assets/portraits/enemies/prism_charger.png,Keep hard angular gold prism; use as second Veil anchor.
enemy,veilAegis,Aegis Anchor,assets/portraits/enemies/aegis_anchor.png,Rework first: organic chitin head is too close to Hive Matriarch; make shield architecture visibly geometric.
enemy,veilResonance,Resonance Warden,assets/portraits/enemies/resonance_warden.png,Keep cyan resonator crown; extend this Veil language across the faction.
enemy,veilNull,Phaseblade,assets/portraits/enemies/nullblade.png,Keep narrow blade helmet; make sharp weapon geometry visible.
enemy,veilStorm,Stormweaver,assets/portraits/enemies/stormweaver.png,Rework first: hooded many-eyed cultist reads like Signal rather than geometric Veil.
enemy,veilSynapse,Relay Herald,assets/portraits/enemies/synapse_herald.png,Circular machinery overlaps Signal; emphasize luminous resonator symmetry.
enemy,veilBoss,Veil Overseer,assets/portraits/enemies/conclave_overseer.png,Rework first: hood and gold eyepieces resemble Signal cultists; needs a unique geometric boss crown.
enemy,voidWisp,Signal Wisp,assets/portraits/enemies/glitch_sprite.png,Keep glitch dissolution; ensure face silhouette survives purple noise.
enemy,voidAcolyte,Circuit Acolyte,assets/portraits/enemies/init_acolyte.png,Keep hood and restrained magenta circuit light; clear machine-cult anchor.
enemy,voidScribe,Cipher Scribe,assets/portraits/enemies/checksum_scribe.png,Keep narrow mask and segmented hanging strip; simplify micro-glyph detail.
enemy,voidBinder,Oath Binder,assets/portraits/enemies/axiom_binder.png,Keep heavy mechanical chest; distinguish restraint/clamp shapes from general cult machinery.
enemy,voidGlimmer,False Image,assets/portraits/enemies/forked_double.png,Keep split/double face; readable deception motif.
enemy,voidChanneler,Ash Channeler,assets/portraits/enemies/daemon_channeler.png,Keep violet core and hood; support role can use larger central emitter.
enemy,voidCircletBoss,Signal Hierophant,assets/portraits/enemies/root_hierophant.png,Keep ceremonial red-purple circuit crown; preserve head outline in boss crop.
enemy,beastMonkey,Pumice Climber,assets/portraits/enemies/pumice_macaque.png,"Keep columnar rock mane; close to Basalt Ape, so exaggerate smaller agile head silhouette."
enemy,beastWolf,Obsidian Hound,assets/portraits/enemies/obsidian_hound.png,Keep shard-edged canine; separate black glass from Slag molten material.
enemy,beastWolf,Slag Hound,assets/portraits/enemies/slag_hound.png,Keep orange fractures; make soft/flowing slag contour distinct from Obsidian sharp plates.
enemy,beastLynx,Geode Panther,assets/portraits/enemies/geode_panther.png,Keep purple crystal growth; avoid letting crystals erase its feline head.
enemy,beastBison,Basalt Ape,assets/portraits/enemies/basalt_ape.png,Keep flat heavy face; differentiate its scale/shape from Pumice Climber.
enemy,beastHyena,Cinder Raptor,assets/portraits/enemies/pyroclast_raptor.png,Keep long toothed profile and crest; strong silhouette.
enemy,beastBadger,Magma Drake,assets/portraits/enemies/magma_drake.png,Keep molten plates and rounder snout; coherent volcanic predator.
enemy,beastTyrant,Mantle Tyrant,assets/portraits/enemies/mantle_tyrant.png,"Keep dark massive jaw; brighten one edge and enlarge rank silhouette, otherwise it reads as another hound."
consumable,patch_kit,Patch Kit,assets/icons/items/patch_kit.png,Keep medical pack and green cross; clear utility silhouette.
consumable,triage_broadcast,Triage Broadcast,assets/icons/items/triage_broadcast.png,Keep subject and rendering family; normalize occupied area and verify recognition at loadout size. Reduce small gold detail where it carries no meaning.
consumable,scrap_plate,Scrap Plate,assets/icons/items/scrap_plate.png,Keep subject and rendering family; normalize occupied area and verify recognition at loadout size. Reduce small gold detail where it carries no meaning.
consumable,buckler_array,Shield Array,assets/icons/items/buckler_array.png,Keep subject and rendering family; normalize occupied area and verify recognition at loadout size. Reduce small gold detail where it carries no meaning.
consumable,calibration_chip,Calibration Chip,assets/icons/items/calibration_chip.png,Keep subject and rendering family; normalize occupied area and verify recognition at loadout size. Reduce small gold detail where it carries no meaning.
consumable,momentum_core,Calibration Core,assets/icons/items/momentum_core.png,Keep subject and rendering family; normalize occupied area and verify recognition at loadout size. Reduce small gold detail where it carries no meaning.
